apachurrar
achantado
balurdo
beta
biyuyo
birra
bochinche
bojote
bonche
bululãº
carajito
chamba
choro
choreto
compinche
corotos
cuaima
chamo
empate
gamelote
guayoyo
guiso
jubilarse
labia
levante
leche
mamonazo
mosca
pana
papear
papita
pavo
pea
sapo
sifrino
vaca
vale
yeyo
zanahoria
zape
zaperoco

