chaleco
chile
yahuuaa
onda
ajuaa
albur
alivianar
apretada
arma
azotarse
barajearla
basculiar
blanquillo
bolsear
bronca
burrocrata
caballo
cadaverizar
calabaza
clarin
corcholata
cuico
chafirete
chance
chido
chinga
chingao
choro
atole
hueva
fajarse
fusca
gata
gatear
guevon
tamales
huacho
hueva
jalada
lana
latir
madrazo
mamada
metiche
naco
neta
pex
mames
wey

