palta
choclo
choro
camote
papa
frejoles
arvejas
sancochar
sancochado
fideos
gaseosa
pararse
jalar
manejar
carro
grifo
aro
llanta
vereda
pasto
celular
laptop
balancear
concientizar
concreto
jamaiquino
valorizado
neva
lisura
poto
cuatrimoto
cuadra
chompa
terno
saco
chalina
casaca
cebiche
ceviche
pachamanca
chincho
marciano
raspadilla
cremolada
anticucho
cholo
combi
soroche
serenazgo
plancha
curul
canciller
burgomaestre
chifa
chicha
mazamorra
chela
pata
cabecear
pituco
plata
luca
conchudo
chochera
balacera

