vos
sos 
che 
pibe 
mina 
tomar 
laburo 
changa 
morfar 
chupar 
bondi 
pochoclos 
rebien 
pucho 
copado 
boludo 
cheto 
cachito 
plomo 
grasa 
huacho 
ortiva 
vigilante 
cabezon 
chamuyar 
versear 
currar 
afanar
chorear
chorro 
cana
boton
milico 
boga 
linyera 
ortiva 
bondi 
posta 
coger 
guita 
naso 
trompa 
bocha 
bocha 
gamba 
gauchada 
gaucho
gaucha
birra 
tinto 
tipo 
capo 
groso 
boton 
salame 
enojo
tanque
